date,laptops,isPartial
2014-12-28,53,False
2015-01-04,51,False
2015-01-11,49,False
2015-01-18,48,False
2015-01-25,47,False
2015-02-01,49,False
2015-02-08,48,False
2015-02-15,50,False
2015-02-22,50,False
2015-03-01,48,False
2015-03-08,50,False
2015-03-15,46,False
2015-03-22,45,False
2015-03-29,46,False
2015-04-05,40,False
2015-04-12,41,False
2015-04-19,43,False
2015-04-26,43,False
2015-05-03,43,False
2015-05-10,44,False
2015-05-17,43,False
2015-05-24,43,False
2015-05-31,45,False
2015-06-07,44,False
2015-06-14,48,False
2015-06-21,47,False
2015-06-28,47,False
2015-07-05,48,False
2015-07-12,52,False
2015-07-19,50,False
2015-07-26,60,False
2015-08-02,64,False
2015-08-09,63,False
2015-08-16,64,False
2015-08-23,62,False
2015-08-30,54,False
2015-09-06,51,False
2015-09-13,47,False
2015-09-20,46,False
2015-09-27,42,False
2015-10-04,45,False
2015-10-11,45,False
2015-10-18,43,False
2015-10-25,45,False
2015-11-01,47,False
2015-11-08,54,False
2015-11-15,59,False
2015-11-22,100,False
2015-11-29,78,False
2015-12-06,55,False
2015-12-13,60,False
2015-12-20,60,False
2015-12-27,52,False
2016-01-03,43,False
2016-01-10,44,False
2016-01-17,44,False
2016-01-24,44,False
2016-01-31,45,False
2016-02-07,46,False
2016-02-14,45,False
2016-02-21,47,False
2016-02-28,40,False
2016-03-06,40,False
2016-03-13,40,False
2016-03-20,41,False
2016-03-27,40,False
2016-04-03,42,False
2016-04-10,39,False
2016-04-17,38,False
2016-04-24,37,False
2016-05-01,40,False
2016-05-08,42,False
2016-05-15,43,False
2016-05-22,41,False
2016-05-29,41,False
2016-06-05,40,False
2016-06-12,40,False
2016-06-19,40,False
2016-06-26,42,False
2016-07-03,43,False
2016-07-10,45,False
2016-07-17,48,False
2016-07-24,52,False
2016-07-31,54,False
2016-08-07,52,False
2016-08-14,55,False
2016-08-21,55,False
2016-08-28,51,False
2016-09-04,51,False
2016-09-11,45,False
2016-09-18,45,False
2016-09-25,42,False
2016-10-02,40,False
2016-10-09,42,False
2016-10-16,42,False
2016-10-23,43,False
2016-10-30,46,False
2016-11-06,44,False
2016-11-13,53,False
2016-11-20,93,False
2016-11-27,76,False
2016-12-04,56,False
2016-12-11,56,False
2016-12-18,53,False
2016-12-25,53,False
2017-01-01,42,False
